pretraining_objective,horizon,threshold,n_groups,mean_retained_fraction,mean_active_fraction,mean_abstention_fraction,mean_classification_accuracy,mean_macro_f1,mean_directional_hit_rate,mean_gross_directional_proxy,mean_cost_adjusted_proxy,mean_signal_change_rate,mean_turnover_adjusted_cost_proxy
supervised,10,0.65,14,0.2280834492179515,0.0061935299342709,0.9679006885640048,0.7488047143632448,0.3189919680625959,0.2690939183091457,-104.07142857142856,-104.07142857142856,0.0061936930304057,-0.4618121633817085
supervised,10,0.7,12,0.1644187284862497,0.0022066440355659,0.986446545335646,0.8122650910679989,0.3212036846075328,0.366199354999529,-47.25,-47.25,0.002206701110313,-0.2676012900009419
supervised,10,0.75,12,0.1105295979237746,0.0005156144879092,0.9965470139863162,0.8628669689738432,0.3122620486605174,0.107622408827228,-16.583333333333332,-16.583333333333332,0.0005156277334462,-0.7847551823455438
supervised,10,0.8,12,0.0593145618648309,8.517960118908333e-06,0.9999490860954128,0.9180598940420808,0.3189380080313672,0.0,-0.3333333333333333,-0.3333333333333333,8.5181777914e-06,-1.0
supervised,10,0.85,10,0.0454882940905496,0.0,1.0,0.9444315386444015,0.3236812222687045,,0.0,0.0,0.0,
supervised,10,0.9,6,0.0369904558397636,0.0,1.0,0.9575147691942952,0.3260625020597216,,0.0,0.0,0.0,
supervised,20,0.33,15,1.0,0.6148943383535769,0.3851056616464232,0.409139097736246,0.3711322885696212,0.3059718974351886,-8180.4,-8180.4,0.6149117757481652,-0.3880562051296227
supervised,20,0.35,15,0.9880004179029808,0.6054599429425191,0.3872140266316188,0.4103342188794293,0.3718070803806766,0.3068599410716778,-8018.266666666666,-8018.266666666666,0.6054771272779421,-0.3862801178566444
supervised,20,0.4,15,0.825934371867436,0.4743093583527946,0.4386918446009368,0.4295289310715587,0.3741455271980027,0.3199670053057602,-6047.6,-6047.6,0.4743230016270811,-0.3600659893884793
supervised,20,0.45,15,0.6299989212095753,0.3210282280366919,0.5097310206586697,0.4601309557856082,0.368740746764294,0.3330132623370557,-4066.8,-4066.8,0.3210376589707331,-0.3339734753258884
supervised,20,0.5,15,0.4389263250334452,0.2029528696387523,0.5812069797323561,0.5181080147747739,0.3821254257577611,0.3443051059430567,-2607.733333333333,-2607.733333333333,0.2029589670610418,-0.3113897881138865
supervised,20,0.55,15,0.2737986270918527,0.1202013569484693,0.550744392844129,0.5669606753238058,0.3947949172346069,0.3439563042019119,-1512.8,-1512.8,0.1202050099980847,-0.312087391596176
supervised,20,0.6,14,0.187229723258501,0.0611298189492967,0.5963438948376046,0.5655787568376999,0.365356871501334,0.3170450880274554,-738.2857142857143,-738.2857142857143,0.0611316665172227,-0.365909823945089
supervised,20,0.65,13,0.1203047048639058,0.024751272841656,0.732168554764194,0.6463074610911773,0.3600846919162438,0.3358527636593919,-306.53846153846155,-306.53846153846155,0.0247520041509002,-0.3282944726812162
supervised,20,0.7,12,0.0749136668434372,0.0068873131485291,0.8895191539938172,0.7852626458696045,0.3757998900465982,0.3918734681546389,-105.5,-105.5,0.0068875068015968,-0.2162530636907219
